library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0019130004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44341d0-1c04-11ee-94d1-2f83ba4a78d4_TWFU-CPT0019130004-Y1N1Ba1_1	dg.4DFC/f44341d0-1c04-11ee-94d1-2f83ba4a78d4	Not specified in data	Not specified in data
TWFU-CPT0019130004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f443669c-1c04-11ee-ad79-0ba1d49858b1_TWFU-CPT0019130004-Y1N1Ba1_1	dg.4DFC/f443669c-1c04-11ee-ad79-0ba1d49858b1	Not specified in data	Not specified in data
TWFU-CPT0023690004N1-CPT0023690004-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4438ab4-1c04-11ee-8b6e-0312b8db5f29_TWFU-CPT0023690004N1-CPT0023690004-ATAC	dg.4DFC/f4438ab4-1c04-11ee-8b6e-0312b8db5f29	Not specified in data	Not specified in data
TWFU-CPT0023690004N1-CPT0023690004-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f443b2c8-1c04-11ee-b7df-7f327e2be94b_TWFU-CPT0023690004N1-CPT0023690004-ATAC	dg.4DFC/f443b2c8-1c04-11ee-b7df-7f327e2be94b	Not specified in data	Not specified in data
TWFU-CPT0023690004N1-CPT0023690004-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f443d7f8-1c04-11ee-a925-c7444faf9c6e_TWFU-CPT0023690004N1-CPT0023690004-ATAC	dg.4DFC/f443d7f8-1c04-11ee-a925-c7444faf9c6e	Not specified in data	Not specified in data
TWFU-CPT0023690004N1-CPT0023690004-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f443fcb0-1c04-11ee-ae88-43be77d65464_TWFU-CPT0023690004N1-CPT0023690004-ATAC	dg.4DFC/f443fcb0-1c04-11ee-ae88-43be77d65464	Not specified in data	Not specified in data
TWFU-CPT0025110004N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4442258-1c04-11ee-b005-df79679f0b0f_TWFU-CPT0025110004N1-ATAC	dg.4DFC/f4442258-1c04-11ee-b005-df79679f0b0f	Not specified in data	Not specified in data
TWFU-CPT0025110004N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44448e6-1c04-11ee-ac3e-d7a226b1bc22_TWFU-CPT0025110004N1-ATAC	dg.4DFC/f44448e6-1c04-11ee-ac3e-d7a226b1bc22	Not specified in data	Not specified in data
TWFU-CPT0025110004N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4446e52-1c04-11ee-811a-7344e616c5f7_TWFU-CPT0025110004N1-ATAC	dg.4DFC/f4446e52-1c04-11ee-811a-7344e616c5f7	Not specified in data	Not specified in data
TWFU-CPT0025110004N1-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4449382-1c04-11ee-8be0-7be75cc8eabf_TWFU-CPT0025110004N1-ATAC	dg.4DFC/f4449382-1c04-11ee-8be0-7be75cc8eabf	Not specified in data	Not specified in data
